Fecha,Ticker,Empresa,Score,RSI,Sentimiento,Señal,Momento
2025-12-29,AMAT,"Applied Materials, Inc.",40,57.9,0.0,🔴 No comprar,Baja prioridad
2025-12-29,ISRG,"Intuitive Surgical, Inc.",40,60.8,0.0,🔴 No comprar,Baja prioridad
2025-12-29,WDC,Western Digital Corporation,40,57.7,0.0,🔴 No comprar,Baja prioridad
2025-12-29,MAR,Marriott International,40,64.4,0.0,🔴 No comprar,Baja prioridad
2025-12-29,VRTX,Vertex Pharmaceuticals Incorpor,40,61.8,0.0,🔴 No comprar,Baja prioridad
2025-12-29,ADSK,"Autodesk, Inc.",30,53.9,0.0,🔴 No comprar,Baja prioridad
2025-12-29,XEL,Xcel Energy Inc.,30,40.1,0.0,🔴 No comprar,Baja prioridad
2025-12-29,AEP,American Electric Power Company,30,49.5,0.0,🔴 No comprar,Baja prioridad
2025-12-29,ADP,"Automatic Data Processing, Inc.",30,50.8,0.0,🔴 No comprar,Baja prioridad
2025-12-29,MELI,"MercadoLibre, Inc.",30,48.5,0.0,🔴 No comprar,Baja prioridad
2025-12-29,CSGP,"CoStar Group, Inc.",30,49.5,0.0,🔴 No comprar,Baja prioridad
2025-12-29,META,"Meta Platforms, Inc.",30,51.7,0.0,🔴 No comprar,Baja prioridad
2025-12-29,WDAY,"Workday, Inc.",30,47.4,0.0,🔴 No comprar,Baja prioridad
2025-12-29,TDY,Teledyne Technologies Incorpora,30,53.8,0.0,🔴 No comprar,Baja prioridad
2025-12-29,ROP,"Roper Technologies, Inc.",30,52.4,0.0,🔴 No comprar,Baja prioridad
2025-12-29,ORCL,Oracle Corporation,30,42.6,0.0,🔴 No comprar,Baja prioridad
2025-12-29,PANW,"Palo Alto Networks, Inc.",30,43.0,0.0,🔴 No comprar,Baja prioridad
2025-12-29,PTC,PTC Inc.,30,46.2,0.0,🔴 No comprar,Baja prioridad
2025-12-29,CPRT,"Copart, Inc.",30,45.5,0.0,🔴 No comprar,Baja prioridad
2025-12-29,COST,Costco Wholesale Corporation,30,44.2,0.0,🔴 No comprar,Baja prioridad
2025-12-29,AXON,"Axon Enterprise, Inc.",30,51.4,0.0,🔴 No comprar,Baja prioridad
2025-12-29,BKR,Baker Hughes Company,30,40.0,0.0,🔴 No comprar,Baja prioridad
2025-12-29,ANET,"Arista Networks, Inc.",30,54.5,0.0,🔴 No comprar,Baja prioridad
2025-12-29,CDW,CDW Corporation,30,40.8,0.0,🔴 No comprar,Baja prioridad
2025-12-29,CHTR,"Charter Communications, Inc.",30,49.1,0.0,🔴 No comprar,Baja prioridad
